"","countrycode","year","gii","scenario"
"116","LKA",1995,0.453126310626546,"Observed"
"117","SDN",1995,0.712193746713609,"Observed"
"118","SUR",1995,0.541269841308385,"Observed"
"119","SWE",1995,0.01,"Observed"
"120","CHE",1995,0.0171803032133276,"Observed"
"121","SYR",1995,0.565174569833554,"Observed"
"122","TJK",1995,0.5688818604345,"Observed"
"123","TZA",1995,0.638737204009348,"Observed"
"124","THA",1995,0.357285685526237,"Observed"
"125","TGO",1995,0.74353027698086,"Observed"
"126","TON",1995,0.671443814793625,"Observed"
"127","TTO",1995,0.404912461727973,"Observed"
"128","TUN",1995,0.485651679576395,"Observed"
"129","TUR",1995,0.602744700355674,"Observed"
"130","TKM",1995,0.344483740032637,"Observed"
"131","UGA",1995,0.648697338132217,"Observed"
"132","UKR",1995,0.450927651002326,"Observed"
"133","ARE",1995,0.613362553735966,"Observed"
"134","GBR",1995,0.205544732270674,"Observed"
"135","USA",1995,0.266390476482119,"Observed"
"136","URY",1995,0.421172473069166,"Observed"
"137","VEN",1995,0.527191326636128,"Observed"
"138","VNM",1995,0.359539348381634,"Observed"
"139","ZMB",1995,0.657240148373963,"Observed"
"140","ZWE",1995,0.579650198505621,"Observed"
"141","AGO",2000,0.676434264050786,"Observed"
"142","ALB",2000,0.298329343113138,"Observed"
"143","ARE",2000,0.578615305750625,"Observed"
"144","ARG",2000,0.397046047758688,"Observed"
"145","ARM",2000,0.440402710148226,"Observed"
"146","AUS",2000,0.097391562876207,"Observed"
"147","AUT",2000,0.0791822010415433,"Observed"
"148","BDI",2000,0.622579759570757,"Observed"
"149","BEL",2000,0.0514194234983918,"Observed"
"150","BEN",2000,0.672337574324286,"Observed"
"151","BFA",2000,0.650621467039842,"Observed"
"152","BGD",2000,0.681826379145481,"Observed"
"153","BGR",2000,0.294332679275483,"Observed"
"154","BHS",2000,0.379391101932061,"Observed"
"155","BLZ",2000,0.501923933001954,"Observed"
"156","BOL",2000,0.575579625774552,"Observed"
"157","BRA",2000,0.493899293699274,"Observed"
"158","BTN",2000,0.604481690351121,"Observed"
"159","BWA",2000,0.505950505232784,"Observed"
"160","CAF",2000,0.698111254196801,"Observed"
"161","CHE",2000,0.01,"Observed"
"162","CHL",2000,0.410642474841528,"Observed"
"163","CHN",2000,0.219387482961596,"Observed"
"164","CMR",2000,0.688461941490986,"Observed"
"165","COG",2000,0.637318844064145,"Observed"
"166","COL",2000,0.488710467601866,"Observed"
"167","CPV",2000,0.519798481961004,"Observed"
"168","CRI",2000,0.404202282312402,"Observed"
"169","CUB",2000,0.360043969510299,"Observed"
"170","CYP",2000,0.17131829516991,"Observed"
"171","CZE",2000,0.101340150823999,"Observed"
"172","DEU",2000,0.0513832216705765,"Observed"
"173","DNK",2000,0.01,"Observed"
"174","DOM",2000,0.491046414391715,"Observed"
"175","DZA",2000,0.590514658482602,"Observed"
"176","ECU",2000,0.492752955751031,"Observed"
"177","EGY",2000,0.613265258660369,"Observed"
"178","ESP",2000,0.0513843271138611,"Observed"
"179","EST",2000,0.246956223137243,"Observed"
"180","ETH",2000,0.68057186832337,"Observed"
"181","FIN",2000,0.0136739513700268,"Observed"
"182","FRA",2000,0.0902326781196174,"Observed"
"183","GAB",2000,0.632330629207409,"Observed"
"184","GBR",2000,0.160625520387633,"Observed"
"185","GEO",2000,0.383581425470803,"Observed"
"186","GIN",2000,0.703492896771012,"Observed"
"187","GMB",2000,0.748566253084033,"Observed"
"188","GNB",2000,0.703769508721277,"Observed"
"189","GNQ",2000,0.705120638371389,"Observed"
"190","GRC",2000,0.14906974671148,"Observed"
"191","GTM",2000,0.580913737318931,"Observed"
"192","GUY",2000,0.561396180262424,"Observed"
"193","HND",2000,0.525447898088141,"Observed"
"194","HRV",2000,0.135259042443905,"Observed"
"195","HUN",2000,0.243647627884017,"Observed"
"196","IDN",2000,0.555982848618247,"Observed"
"197","IND",2000,0.636202755607806,"Observed"
"198","IRL",2000,0.146709591145157,"Observed"
"199","IRN",2000,0.57580416957537,"Observed"
"200","IRQ",2000,0.647690142418608,"Observed"
"201","ISL",2000,0.0744527867185798,"Observed"
"202","ISR",2000,0.133009969753279,"Observed"
"203","ITA",2000,0.100553453435631,"Observed"
"204","JAM",2000,0.440004085185858,"Observed"
"205","JOR",2000,0.606690184403387,"Observed"
"206","JPN",2000,0.0534493777346259,"Observed"
"207","KAZ",2000,0.363654343417503,"Observed"
"208","KEN",2000,0.668034632520474,"Observed"
"209","KGZ",2000,0.454470528009635,"Observed"
"210","KHM",2000,0.576604272654636,"Observed"
"211","KOR",2000,0.098178419978097,"Observed"
"212","KWT",2000,0.533972601418321,"Observed"
"213","LAO",2000,0.566240281076614,"Observed"
"214","LBN",2000,0.476430785997446,"Observed"
"215","LBR",2000,0.678693374453782,"Observed"
"216","LCA",2000,0.42815478586784,"Observed"
"217","LSO",2000,0.588965863742579,"Observed"
"218","LTU",2000,0.230941544808184,"Observed"
"219","LUX",2000,0.0973914027911713,"Observed"
"220","LVA",2000,0.237452723788422,"Observed"
"221","MAR",2000,0.693039217127598,"Observed"
"222","MDA",2000,0.370566423989835,"Observed"
"223","MDG",2000,0.641475507317471,"Observed"
"224","MDV",2000,0.488816858183278,"Observed"
"225","MEX",2000,0.450868063203079,"Observed"
"226","MKD",2000,0.284809988825761,"Observed"
"227","MLI",2000,0.688225382909175,"Observed"
"228","MLT",2000,0.236323567414038,"Observed"
"229","MNG",2000,0.420877695039367,"Observed"
"230","MOZ",2000,0.621333939050768,"Observed"
"231","MUS",2000,0.456602075398684,"Observed"
"232","MWI",2000,0.666836738016356,"Observed"
"233","MYS",2000,0.263215067620308,"Observed"
"234","NAM",2000,0.5356376995532,"Observed"
"235","NER",2000,0.783515947762043,"Observed"
"236","NGA",2000,0.720615086132699,"Observed"
"237","NIC",2000,0.577748883846307,"Observed"
"238","NLD",2000,0.018762258942515,"Observed"
"239","NOR",2000,0.022336054916743,"Observed"
"240","NPL",2000,0.64702020798376,"Observed"
"241","NZL",2000,0.142737354692777,"Observed"
"242","PAN",2000,0.503333950357591,"Observed"
"243","PHL",2000,0.487903004103446,"Observed"
"244","POL",2000,0.131506324273137,"Observed"
"245","PRK",2000,0.0882555378137395,"Observed"
"246","PRT",2000,0.130600448455562,"Observed"
"247","PRY",2000,0.55900875054515,"Observed"
"248","RUS",2000,0.395611782401452,"Observed"
"249","RWA",2000,0.556808679542405,"Observed"
"250","SEN",2000,0.648924765150519,"Observed"
"251","SGP",2000,0.188907390384818,"Observed"
"252","SLB",2000,0.643744952797809,"Observed"
"253","SLE",2000,0.686565626664543,"Observed"
"254","SLV",2000,0.498042789164216,"Observed"
"255","STP",2000,0.602417043452482,"Observed"
"256","SVK",2000,0.156214777431385,"Observed"
"257","SWE",2000,0.01,"Observed"
"258","SWZ",2000,0.658152752498205,"Observed"
"259","SYR",2000,0.477218368235705,"Observed"
"260","TCD",2000,0.782703310853102,"Observed"
"261","TGO",2000,0.672128640662779,"Observed"
"262","THA",2000,0.395814257810524,"Observed"
"263","TJK",2000,0.398903658236892,"Observed"
"264","TKM",2000,0.233912928861537,"Observed"
"265","TON",2000,0.654358274598362,"Observed"
"266","TUN",2000,0.354356680139665,"Observed"
"267","TUR",2000,0.522400576090856,"Observed"
"268","UGA",2000,0.632222085515542,"Observed"
"269","UKR",2000,0.346350478092966,"Observed"
"270","URY",2000,0.353696345007316,"Observed"
"271","VCT",2000,0.493629792809267,"Observed"
"272","VNM",2000,0.31220973948759,"Observed"
"273","VUT",2000,0.727852271262698,"Observed"
"274","WSM",2000,0.446140907334523,"Observed"
"275","YEM",2000,0.843776628069952,"Observed"
"276","ZAF",2000,0.445696748102216,"Observed"
"277","ZMB",2000,0.645969505214159,"Observed"
"278","ZWE",2000,0.613331610287312,"Observed"
"279","AGO",2001,0.671574614227304,"Observed"
"280","ALB",2001,0.291642673152153,"Observed"
"281","ARE",2001,0.423231271984804,"Observed"
"282","ARM",2001,0.431268458372,"Observed"
"283","AUT",2001,0.0721766191222033,"Observed"
"284","AZE",2001,0.346716465132036,"Observed"
"285","BDI",2001,0.618224578722723,"Observed"
"286","BEL",2001,0.0586367863081189,"Observed"
"287","BEN",2001,0.669642096299257,"Observed"
"288","BFA",2001,0.660112178120006,"Observed"
"289","BGR",2001,0.226667666622429,"Observed"
"290","BHS",2001,0.390150511042969,"Observed"
"291","BIH",2001,0.270288709932788,"Observed"
"292","BLR",2001,0.245786916600249,"Observed"
"293","BLZ",2001,0.53247017837019,"Observed"
"294","BOL",2001,0.566629102315597,"Observed"
"295","BRA",2001,0.482269969163585,"Observed"
"296","BTN",2001,0.591176894131333,"Observed"
"297","BWA",2001,0.502576833830471,"Observed"
"298","CAF",2001,0.696493890739583,"Observed"
"299","CAN",2001,0.0895325736408782,"Observed"
"300","CHE",2001,0.01,"Observed"
"301","CHL",2001,0.400251839396791,"Observed"
"302","CHN",2001,0.207183459423565,"Observed"
"303","CIV",2001,0.692270936588528,"Observed"
"304","CMR",2001,0.684555237441163,"Observed"
"305","COG",2001,0.637538731948343,"Observed"
"306","COL",2001,0.48854764113879,"Observed"
"307","CPV",2001,0.511138198662485,"Observed"
"308","CRI",2001,0.386833837187898,"Observed"
